PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
288413,11,28,Central Region,Bukit Timah,1.327835655,103.8122345
286655,11,28,Central Region,Bukit Timah,1.327905894,103.8119861
308414,11,30,Central Region,Novena,1.314044257,103.8419229
307465,11,30,Central Region,Novena,1.315714279,103.8438541
308172,11,30,Central Region,Novena,1.324113345,103.8490407
307945,11,30,Central Region,Novena,1.314478832,103.8398997
308381,11,30,Central Region,Novena,1.31710864,103.8427431
307997,11,30,Central Region,Novena,1.31491462,103.8396877
308380,11,30,Central Region,Novena,1.317108641,103.8427431
309466,11,30,Central Region,Novena,1.316446355,103.8462586
298130,11,29,Central Region,Novena,1.328363609,103.8414184
307955,11,30,Central Region,Novena,1.315448385,103.8403548
309061,11,30,Central Region,Novena,1.31496035,103.8384594
288407,11,28,Central Region,Bukit Timah,1.327319526,103.8128318
289609,11,28,Central Region,Bukit Timah,1.324733513,103.8107247
307842,11,30,Central Region,Novena,1.318198996,103.8489061
298127,11,29,Central Region,Novena,1.327091332,103.8419786
297722,11,29,Central Region,Novena,1.322225334,103.8235978
288353,11,28,Central Region,Bukit Timah,1.325808254,103.8125169
309767,11,30,Central Region,Novena,1.317959989,103.8403281
307740,11,30,Central Region,Novena,1.316400356,103.8416718
307957,11,30,Central Region,Novena,1.315692816,103.8416155
309838,11,30,Central Region,Novena,1.32353748,103.8481082
307956,11,30,Central Region,Novena,1.315348738,103.841448
307690,11,30,Central Region,Novena,1.321410375,103.8413992
307689,11,30,Central Region,Novena,1.320858242,103.8417907
309462,11,30,Central Region,Novena,1.315681726,103.8458804
309312,11,30,Central Region,Novena,1.316154918,103.8405338
309461,11,30,Central Region,Novena,1.316277368,103.845724
309079,11,30,Central Region,Novena,1.317110239,103.8379568
289599,11,28,Central Region,Bukit Timah,1.32443999,103.8118363
308140,11,30,Central Region,Novena,1.319614866,103.8459692
309421,11,30,Central Region,Novena,1.31467263,103.8390108
298069,11,29,Central Region,Novena,1.325304224,103.825473
307968,11,30,Central Region,Novena,1.3175687,103.8411835
309097,11,30,Central Region,Novena,1.318524909,103.8395211
289499,11,28,Central Region,Bukit Timah,1.331624107,103.807137
298128,11,29,Central Region,Novena,1.327767199,103.8416145
289853,11,28,Central Region,Bukit Timah,1.335800575,103.8083594
289852,11,28,Central Region,Bukit Timah,1.335028916,103.8083464
298067,11,29,Central Region,Novena,1.324540649,103.8252913
289851,11,28,Central Region,Bukit Timah,1.334342915,103.8086484
288431,11,28,Central Region,Bukit Timah,1.329271099,103.8112472
308215,11,30,Central Region,Novena,1.323560176,103.8491091
309837,11,30,Central Region,Novena,1.3229753,103.8478227
309502,11,30,Central Region,Novena,1.319289078,103.8366533
307645,11,30,Central Region,Novena,1.321146529,103.8415504
298063,11,29,Central Region,Novena,1.323926552,103.8257199
289844,11,28,Central Region,Bukit Timah,1.33389914,103.8102548
308185,11,30,Central Region,Novena,1.32578698,103.8480593
289850,11,28,Central Region,Bukit Timah,1.333777985,103.8088066
288061,11,28,Central Region,Bukit Timah,1.34764821,103.7908018
309657,11,30,Central Region,Novena,1.325536682,103.8383151
309094,11,30,Central Region,Novena,1.318058341,103.8396175
289843,11,28,Central Region,Bukit Timah,1.333374744,103.8112756
298071,11,29,Central Region,Novena,1.324688443,103.8257442
289854,11,28,Central Region,Bukit Timah,1.335471541,103.8089308
289505,11,28,Central Region,Bukit Timah,1.331664767,103.8070338
309836,11,30,Central Region,Novena,1.322765609,103.8482485
298808,11,29,Central Region,Novena,1.328659234,103.820422
289849,11,28,Central Region,Bukit Timah,1.334121918,103.8094207
308184,11,30,Central Region,Novena,1.325489418,103.8483754
287561,11,28,Central Region,Bukit Timah,1.330486944,103.8095645
309499,11,30,Central Region,Novena,1.318994206,103.8368534
309972,11,30,Central Region,Novena,1.322727933,103.8476588
309948,11,30,Central Region,Novena,1.320784816,103.8352509
309946,11,30,Central Region,Novena,1.320857101,103.8352015
309950,11,30,Central Region,Novena,1.320769961,103.8351946
288433,11,28,Central Region,Bukit Timah,1.329818907,103.8110124
309031,11,30,Central Region,Novena,1.321519513,103.833947
289884,11,28,Central Region,Bukit Timah,1.325130614,103.8126699
289535,11,28,Central Region,Bukit Timah,1.333748224,103.7987314
309021,11,30,Central Region,Novena,1.320634279,103.8335121
309493,11,30,Central Region,Novena,1.31865334,103.8368637
288435,11,28,Central Region,Bukit Timah,1.329233816,103.8106287
287556,11,28,Central Region,Bukit Timah,1.330417445,103.8099391
288352,11,28,Central Region,Bukit Timah,1.324565546,103.812187
297813,11,29,Central Region,Novena,1.32610732,103.8368495
309655,11,30,Central Region,Novena,1.325288085,103.8388657
287133,11,28,Central Region,Bukit Timah,1.330180077,103.8093792
309568,11,30,Central Region,Novena,1.323560739,103.8387503
288421,11,28,Central Region,Bukit Timah,1.328324811,103.8117001
288437,11,28,Central Region,Bukit Timah,1.328652003,103.8105773
289536,11,28,Central Region,Bukit Timah,1.333763333,103.7988114
288007,11,28,Central Region,Bukit Timah,1.346630715,103.7894367
289847,11,28,Central Region,Bukit Timah,1.334871953,103.8094424
289882,11,28,Central Region,Bukit Timah,1.325130614,103.8126699
309098,11,30,Central Region,Novena,1.318598146,103.8398223
288422,11,28,Central Region,Bukit Timah,1.329304902,103.8119992
297820,11,29,Central Region,Novena,1.324778956,103.8371032
309065,11,30,Central Region,Novena,1.316089414,103.8385798
287544,11,28,Central Region,Bukit Timah,1.330157561,103.8098633
288011,11,28,Central Region,Bukit Timah,1.347761392,103.789956
299299,11,29,Central Region,Novena,1.328768188,103.8190894
307675,11,30,Central Region,Novena,1.325344604,103.8407244
288429,11,28,Central Region,Bukit Timah,1.328663402,103.8111214
289502,11,28,Central Region,Bukit Timah,1.331650619,103.8070853
289883,11,28,Central Region,Bukit Timah,1.325130614,103.8126699
287571,11,28,Central Region,Bukit Timah,1.330475377,103.809558
287560,11,28,Central Region,Bukit Timah,1.330484006,103.8099585
